Rk,Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
39,Clifford Rozier,1994,1,16,1995,1998,173,2984,350,705,2,11,125,269,376,897,98,78,113,162,435,827,.496,.182,.465,17.2,4.8,5.2,0.6
40,Terry Rozier,2015,1,16,2016,2021,360,8423,1332,3291,593,1559,469,579,221,1348,965,292,73,396,491,3726,.405,.380,.810,23.4,10.4,3.7,2.7
41,Samardo Samuels,,,,2011,2013,109,1722,237,532,0,4,164,251,148,366,45,38,41,115,231,638,.445,.000,.653,15.8,5.9,3.4,0.4
42,Alvin Sims,,,,1999,1999,4,25,4,10,1,1,2,5,3,4,5,2,0,6,2,11,.400,1.000,.400,6.3,2.8,1.0,1.3
43,Peyton Siva,2013,2,56,2014,2014,24,224,18,57,7,25,11,15,2,14,34,9,1,18,27,54,.316,.280,.733,9.3,2.3,0.6,1.4
44,Chris Smith,,,,2014,2014,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0
45,Derek Smith,1982,2,35,1983,1991,408,9825,2031,4074,45,153,1125,1495,476,1300,866,265,175,700,1214,5232,.499,.294,.753,24.1,12.8,3.2,2.1
46,Jerry Smith,,,,2012,2012,5,46,3,14,1,6,0,0,2,7,4,5,0,0,5,7,.214,.167,,9.2,1.4,1.4,0.8
47,LaBradford Smith,1991,1,19,1992,1994,183,3131,485,1122,31,104,217,267,90,271,394,142,15,216,372,1218,.432,.298,.813,17.1,6.7,1.5,2.2
48,Russ Smith,2014,2,47,2015,2016,27,131,15,47,3,16,20,26,2,15,19,8,1,19,18,53,.319,.188,.769,4.9,2.0,0.6,0.7
49,Ray Spalding,2018,2,56,2019,2019,14,148,25,47,0,3,4,12,15,48,5,9,8,9,23,54,.532,.000,.333,10.6,3.9,3.4,0.4
50,Felton Spencer,1990,1,6,1991,2002,640,12298,1194,2466,0,1,966,1469,1313,3436,213,248,534,667,2116,3354,.484,.000,.658,19.2,5.2,5.4,0.3
51,Barry Sumpter,1988,3,56,1989,1989,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,1.0,0.0,0.0,0.0
52,Ronald Thomas,1972,6,90,1973,1976,264,3292,439,938,3,14,170,317,437,1075,198,160,39,234,530,1051,.468,.214,.536,12.5,4.0,4.1,0.8
53,Billy Thompson,1986,1,19,1987,1992,300,6697,1074,2128,2,13,416,617,670,1615,514,158,272,529,817,2566,.505,.154,.674,22.3,8.6,5.4,1.7
54,Jack Turner,1961,2,18,1962,1962,42,567,84,221,,,32,42,,85,44,,,,51,200,.380,,.762,13.5,4.8,2.0,1.0
55,Charlie Tyra,1957,1,2,1958,1962,348,7811,1213,3131,,,665,990,,2567,315,,,,987,3091,.387,,.672,22.4,8.9,7.4,0.9
56,Wes Unseld *,1968,1,2,1969,1981,984,35832,4369,8586,3,6,1883,2976,2085,13769,3822,628,367,579,2762,10624,.509,.500,.633,36.4,10.8,14.0,3.9
57,Milt Wagner,1986,2,35,1988,1991,53,496,86,204,8,27,35,40,4,35,76,8,7,34,56,215,.422,.296,.875,9.4,4.1,0.7,1.4
58,Samaki Walker,1996,1,9,1997,2006,445,7612,936,2026,1,9,503,798,627,2089,252,134,316,403,895,2376,.462,.111,.630,17.1,5.3,4.7,0.6
59,DeJuan Wheat,1997,2,51,1998,1999,80,740,93,243,30,77,49,70,14,56,127,32,3,57,71,265,.383,.390,.700,9.3,3.3,0.7,1.6
60,Terrence Williams,2009,1,11,2010,2013,153,2922,437,1061,58,183,153,232,67,545,364,83,19,222,199,1085,.412,.317,.659,19.1,7.1,3.6,2.4
61,Rick Wilson,1978,2,25,1979,1980,66,648,83,211,0,0,28,50,22,79,83,34,9,49,69,194,.393,,.560,9.8,2.9,1.2,1.3
